location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,Puissance Fiscale
Tunis,a day ago,230000.0,Noir,48500.0,Avec kilométrage,1.8,2008.0,Automatique,Mercedes-Benz,Classe C Coupe,Berline,Essence,11.0
Ariana,3 days ago,153000.0,Noir,59000.0,Avec kilométrage,2.0,2012.0,Automatique,Kia,Sportage,4 x 4,Essence,11.0
Sfax,3 days ago,42000.0,Orange,41500.0,Nouveau,1.0,2022.0,Manuelle,Kia,Picanto,Berline,Essence,4.0
Tunis,4 days ago,46000.0,Blanc,139000.0,Avec kilométrage,1.5,2020.0,Automatique,BMW,Serie 1,Berline,Essence,8.0
La Manouba,5 days ago,75000.0,Noir,45000.0,Avec kilométrage,1.5,2021.0,Automatique,MG,ZS,4 x 4,Essence,7.0
Sousse,8 days ago,204000.0,Bleu,52500.0,Avec kilométrage,2.0,2011.0,Manuelle,BMW,Serie 3 GT,Berline,Diesel,6.0
Ben Arous,8 days ago,60000.0,Bleu,48000.0,Avec kilométrage,1.5,2021.0,Automatique,MG,3,Compacte,Essence,7.0
Tunis,9 days ago,51000.0,Blanc,69000.0,Avec kilométrage,1.2,2021.0,Manuelle,Peugeot,2008,Autres,Essence,6.0
Tunis,9 days ago,46000.0,Noir,62000.0,Avec kilométrage,1.0,2021.0,Manuelle,Seat,Ibiza,Compacte,Essence,4.0
Sfax,11 days ago,3700.0,Noir,78000.0,Nouveau,1.4,2023.0,Automatique,Kia,Rio,Compacte,Essence,6.0
Kairouan,11 days ago,120000.0,Noir,78000.0,Nouveau,1.6,2018.0,Automatique,BMW,Serie 3,Berline,Essence,7.0
Kairouan,11 days ago,170000.0,Noir,36000.0,Nouveau,2.0,2013.0,Manuelle,Volkswagen,Jetta,Berline,Essence,8.0
Kairouan,11 days ago,106000.0,Noir,148000.0,Nouveau,2.0,2018.0,Automatique,BMW,Serie 5,Berline,Essence,10.0
Kairouan,11 days ago,70000.0,Blanc,48500.0,Nouveau,1.0,2021.0,Manuelle,Seat,Ibiza,Compacte,Essence,4.0
Kairouan,11 days ago,140000.0,Blanc,63500.0,Nouveau,1.4,2018.0,Manuelle,Volkswagen,Passat,Berline,Essence,8.0
Kairouan,11 days ago,70000.0,Gris,60000.0,Nouveau,1.0,2021.0,Manuelle,Dacia,Sandero,Compacte,Essence,6.0
Kairouan,11 days ago,80000.0,Noir,65000.0,Nouveau,1.2,2020.0,Manuelle,Kia,Rio,Berline,Essence,5.0
Kairouan,11 days ago,90000.0,Noir,38000.0,Nouveau,1.2,2019.0,Manuelle,Suzuki,Swift,Berline,Essence,5.0
Kairouan,11 days ago,120000.0,Noir,56000.0,Nouveau,1.2,2019.0,Automatique,Peugeot,2008,Autres,Essence,6.0
Sfax,13 days ago,147000.0,Blanc,77000.0,Nouveau,1.8,2016.0,Automatique,Mercedes-Benz,Classe A,Autres,Essence,6.0
Tunis,15 days ago,123000.0,Gris,39000.0,Avec kilométrage,1.6,2017.0,Manuelle,Peugeot,308,Berline,Essence,6.0
Tunis,16 days ago,116000.0,Noir,70000.0,Avec kilométrage,1.2,2019.0,Automatique,Peugeot,3008,Autres,Essence,7.0
Tunis,18 days ago,300000.0,Gris,22000.0,Avec kilométrage,1.9,2001.0,Manuelle,Volkswagen,Jetta,Berline,Diesel,6.0
